/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    n_updates            | 750         |
|    policy_gradient_loss | -0.0214     |
|    std                  | 0.68        |
|    value_loss           | 0.135       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00381     |
|    E_fric_J             | 0.00388     |
|    E_norm_J             | 0.00142     |
|    W_neg_J              | 0.00686     |
|    W_pos_J              | 0.011       |
| reward/                 |             |
|    r_energy             | -0.0127     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -5.92       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 77          |
|    time_elapsed         | 6791        |
|    total_timesteps      | 315392      |
| train/                  |             |
|    approx_kl            | 0.019472085 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.9        |
|    explained_variance   | 0.789       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0451     |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.0206     |
|    std                  | 0.676       |
|    value_loss           | 0.12        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0316      |
|    E_fric_J             | 0.00507     |
|    E_norm_J             | 0.0192      |
|    W_neg_J              | 0.042       |
|    W_pos_J              | 0.0659      |
| reward/                 |             |
|    r_energy             | -0.0824     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -5.68       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 78          |
|    time_elapsed         | 6883        |
|    total_timesteps      | 319488      |
| train/                  |             |
|    approx_kl            | 0.016649337 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.85       |
|    explained_variance   | 0.8         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.032      |
|    n_updates            | 770         |
|    policy_gradient_loss | -0.0197     |
|    std                  | 0.674       |
|    value_loss           | 0.116       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00358     |
|    E_fric_J             | 0.00391     |
|    E_norm_J             | 0.00151     |
|    W_neg_J              | 0.00595     |
|    W_pos_J              | 0.0104      |
| reward/                 |             |
|    r_energy             | -0.0119     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -5.41       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 79          |
|    time_elapsed         | 6977        |
|    total_timesteps      | 323584      |
| train/                  |             |
|    approx_kl            | 0.017662704 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.77       |
|    explained_variance   | 0.788       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0622     |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0204     |
|    std                  | 0.667       |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.022       |
|    E_fric_J             | 0.00392     |
|    E_norm_J             | 0.0179      |
|    W_neg_J              | 0.0271      |
|    W_pos_J              | 0.0445      |
| reward/                 |             |
|    r_energy             | -0.0605     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -5.04       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 80          |
|    time_elapsed         | 7072        |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.020090552 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.69       |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0947     |
|    n_updates            | 790         |
|    policy_gradient_loss | -0.0208     |
|    std                  | 0.662       |
|    value_loss           | 0.0904      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00326     |
|    E_fric_J             | 0.00367     |
|    E_norm_J             | 0.00145     |
|    W_neg_J              | 0.00594     |
|    W_pos_J              | 0.0101      |
| reward/                 |             |
|    r_energy             | -0.0115     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.92       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 81          |
|    time_elapsed         | 7166        |
|    total_timesteps      | 331776      |
| train/                  |             |
|    approx_kl            | 0.017239423 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.6        |
|    explained_variance   | 0.798       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0317      |
|    n_updates            | 800         |
|    policy_gradient_loss | -0.0177     |
|    std                  | 0.655       |
|    value_loss           | 0.101       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00263     |
|    E_fric_J             | 0.00339     |
|    E_norm_J             | 0.00125     |
|    W_neg_J              | 0.004       |
|    W_pos_J              | 0.00837     |
| reward/                 |             |
|    r_energy             | -0.00917    |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.9        |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 82          |
|    time_elapsed         | 7261        |
|    total_timesteps      | 335872      |
| train/                  |             |
|    approx_kl            | 0.017676435 |
|    clip_fraction        | 0.244       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.52       |
|    explained_variance   | 0.828       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0726     |
|    n_updates            | 810         |
|    policy_gradient_loss | -0.0201     |
|    std                  | 0.651       |
|    value_loss           | 0.0759      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0033      |
|    E_fric_J             | 0.00375     |
|    E_norm_J             | 0.00148     |
|    W_neg_J              | 0.00589     |
|    W_pos_J              | 0.0089      |
| reward/                 |             |
|    r_energy             | -0.0112     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.95       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 83          |
|    time_elapsed         | 7355        |
|    total_timesteps      | 339968      |
| train/                  |             |
|    approx_kl            | 0.015142767 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.48       |
|    explained_variance   | 0.851       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.103      |
|    n_updates            | 820         |
|    policy_gradient_loss | -0.0164     |
|    std                  | 0.649       |
|    value_loss           | 0.07        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00299     |
|    E_fric_J             | 0.00336     |
|    E_norm_J             | 0.00128     |
|    W_neg_J              | 0.00468     |
|    W_pos_J              | 0.00807     |
| reward/                 |             |
|    r_energy             | -0.00969    |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.94       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 84          |
|    time_elapsed         | 7449        |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.018063545 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.44       |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.1        |
|    n_updates            | 830         |
|    policy_gradient_loss | -0.0194     |
|    std                  | 0.646       |
|    value_loss           | 0.0778      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00339     |
|    E_fric_J             | 0.00366     |
|    E_norm_J             | 0.00136     |
|    W_neg_J              | 0.00543     |
|    W_pos_J              | 0.00933     |
| reward/                 |             |
|    r_energy             | -0.0109     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.62       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 85          |
|    time_elapsed         | 7544        |
|    total_timesteps      | 348160      |
| train/                  |             |
|    approx_kl            | 0.021053988 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.41       |
|    explained_variance   | 0.84        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0788     |
|    n_updates            | 840         |
|    policy_gradient_loss | -0.0174     |
|    std                  | 0.644       |
|    value_loss           | 0.0824      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00264     |
|    E_fric_J             | 0.00337     |
|    E_norm_J             | 0.00129     |
|    W_neg_J              | 0.00408     |
|    W_pos_J              | 0.00821     |
| reward/                 |             |
|    r_energy             | -0.0092     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.55       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 86          |
|    time_elapsed         | 7639        |
|    total_timesteps      | 352256      |
| train/                  |             |
|    approx_kl            | 0.018050361 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.38       |
|    explained_variance   | 0.827       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0799     |
|    n_updates            | 850         |
|    policy_gradient_loss | -0.0176     |
|    std                  | 0.642       |
|    value_loss           | 0.0808      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00317     |
|    E_fric_J             | 0.00362     |
|    E_norm_J             | 0.00141     |
|    W_neg_J              | 0.00517     |
|    W_pos_J              | 0.00938     |
| reward/                 |             |
|    r_energy             | -0.0107     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.71       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 87          |
|    time_elapsed         | 7732        |
|    total_timesteps      | 356352      |
| train/                  |             |
|    approx_kl            | 0.019048344 |
|    clip_fraction        | 0.248       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.35       |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0774     |
|    n_updates            | 860         |
|    policy_gradient_loss | -0.0204     |
|    std                  | 0.641       |
|    value_loss           | 0.0689      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00376     |
|    E_fric_J             | 0.00352     |
|    E_norm_J             | 0.00129     |
|    W_neg_J              | 0.00457     |
|    W_pos_J              | 0.0111      |
| reward/                 |             |
|    r_energy             | -0.011      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.74       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 88          |
|    time_elapsed         | 7825        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.020370638 |
|    clip_fraction        | 0.259       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.32       |
|    explained_variance   | 0.855       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0898     |
|    n_updates            | 870         |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.64        |
|    value_loss           | 0.075       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00292     |
|    E_fric_J             | 0.00345     |
|    E_norm_J             | 0.00137     |
|    W_neg_J              | 0.00535     |
|    W_pos_J              | 0.00912     |
| reward/                 |             |
|    r_energy             | -0.0105     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.57       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 89          |
|    time_elapsed         | 7918        |
|    total_timesteps      | 364544      |
| train/                  |             |
|    approx_kl            | 0.018088045 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.27       |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0973     |
|    n_updates            | 880         |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.636       |
|    value_loss           | 0.0728      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00293     |
|    E_fric_J             | 0.00368     |
|    E_norm_J             | 0.00145     |
|    W_neg_J              | 0.00525     |
|    W_pos_J              | 0.00863     |
| reward/                 |             |
|    r_energy             | -0.0105     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.37       |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 90          |
|    time_elapsed         | 8011        |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.018875293 |
|    clip_fraction        | 0.236       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.21       |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0949     |
|    n_updates            | 890         |
|    policy_gradient_loss | -0.0165     |
|    std                  | 0.631       |
|    value_loss           | 0.0787      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00306     |
|    E_fric_J             | 0.00337     |
|    E_norm_J             | 0.00125     |
|    W_neg_J              | 0.00476     |
|    W_pos_J              | 0.0102      |
| reward/                 |             |
|    r_energy             | -0.0104     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.17       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 91          |
|    time_elapsed         | 8106        |
|    total_timesteps      | 372736      |
| train/                  |             |
|    approx_kl            | 0.018748457 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.17       |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0732     |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.63        |
|    value_loss           | 0.06        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00257     |
|    E_fric_J             | 0.00338     |
|    E_norm_J             | 0.00129     |
|    W_neg_J              | 0.00512     |
|    W_pos_J              | 0.00723     |
| reward/                 |             |
|    r_energy             | -0.00951    |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.04       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 92          |
|    time_elapsed         | 8201        |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.020414334 |
|    clip_fraction        | 0.258       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.13       |
|    explained_variance   | 0.852       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0992     |
|    n_updates            | 910         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.626       |
|    value_loss           | 0.0696      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00366    |
|    E_fric_J             | 0.00358    |
|    E_norm_J             | 0.00131    |
|    W_neg_J              | 0.00562    |
|    W_pos_J              | 0.01       |
| reward/                 |            |
|    r_energy             | -0.0113    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | -4.04      |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 93         |
|    time_elapsed         | 8294       |
|    total_timesteps      | 380928     |
| train/                  |            |
|    approx_kl            | 0.02056046 |
|    clip_fraction        | 0.256      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.07      |
|    explained_variance   | 0.841      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0643    |
|    n_updates            | 920        |
|    policy_gradient_loss | -0.0207    |
|    std                  | 0.623      |
|    value_loss           | 0.0747     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00266     |
|    E_fric_J             | 0.00347     |
|    E_norm_J             | 0.00132     |
|    W_neg_J              | 0.00469     |
|    W_pos_J              | 0.00865     |
| reward/                 |             |
|    r_energy             | -0.0098     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -4.06       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 94          |
|    time_elapsed         | 8387        |
|    total_timesteps      | 385024      |
| train/                  |             |
|    approx_kl            | 0.020542152 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.04       |
|    explained_variance   | 0.836       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0959     |
|    n_updates            | 930         |
|    policy_gradient_loss | -0.0178     |
|    std                  | 0.622       |
|    value_loss           | 0.0703      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0052      |
|    E_fric_J             | 0.0042      |
|    E_norm_J             | 0.00196     |
|    W_neg_J              | 0.00885     |
|    W_pos_J              | 0.0147      |
| reward/                 |             |
|    r_energy             | -0.0164     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.99       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 95          |
|    time_elapsed         | 8480        |
|    total_timesteps      | 389120      |
| train/                  |             |
|    approx_kl            | 0.024094399 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.01       |
|    explained_variance   | 0.865       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0924     |
|    n_updates            | 940         |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.62        |
|    value_loss           | 0.06        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00354     |
|    E_fric_J             | 0.00363     |
|    E_norm_J             | 0.00134     |
|    W_neg_J              | 0.00473     |
|    W_pos_J              | 0.0112      |
| reward/                 |             |
|    r_energy             | -0.0111     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.88       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 96          |
|    time_elapsed         | 8574        |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.019540973 |
|    clip_fraction        | 0.237       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.98       |
|    explained_variance   | 0.855       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0795     |
|    n_updates            | 950         |
|    policy_gradient_loss | -0.0201     |
|    std                  | 0.619       |
|    value_loss           | 0.0679      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0169      |
|    E_fric_J             | 0.00523     |
|    E_norm_J             | 0.0191      |
|    W_neg_J              | 0.0169      |
|    W_pos_J              | 0.0477      |
| reward/                 |             |
|    r_energy             | -0.0546     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.91       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 97          |
|    time_elapsed         | 8667        |
|    total_timesteps      | 397312      |
| train/                  |             |
|    approx_kl            | 0.022047868 |
|    clip_fraction        | 0.263       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.94       |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0949     |
|    n_updates            | 960         |
|    policy_gradient_loss | -0.0199     |
|    std                  | 0.615       |
|    value_loss           | 0.061       |
-----------------------------------------
--------------------------------------
| energy/                 |          |
|    E_damp_J             | 0.00332  |
|    E_fric_J             | 0.00396  |
|    E_norm_J             | 0.00153  |
|    W_neg_J              | 0.00512  |
|    W_pos_J              | 0.0102   |
| reward/                 |          |
|    r_energy             | -0.0113  |
| rollout/                |          |
|    ep_len_mean          | 82       |
|    ep_rew_mean          | -3.82    |
| time/                   |          |
|    fps                  | 45       |
|    iterations           | 98       |
|    time_elapsed         | 8759     |
|    total_timesteps      | 401408   |
| train/                  |          |
|    approx_kl            | 0.02065  |
|    clip_fraction        | 0.258    |
|    clip_range           | 0.2      |
|    entropy_loss         | -8.9     |
|    explained_variance   | 0.862    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0952  |
|    n_updates            | 970      |
|    policy_gradient_loss | -0.019   |
|    std                  | 0.613    |
|    value_loss           | 0.0669   |
--------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.03       |
|    E_fric_J             | 0.00497    |
|    E_norm_J             | 0.0189     |
|    W_neg_J              | 0.0389     |
|    W_pos_J              | 0.0632     |
| reward/                 |            |
|    r_energy             | -0.0786    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | -3.68      |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 99         |
|    time_elapsed         | 8852       |
|    total_timesteps      | 405504     |
| train/                  |            |
|    approx_kl            | 0.02219812 |
|    clip_fraction        | 0.257      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.86      |
|    explained_variance   | 0.837      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0837    |
|    n_updates            | 980        |
|    policy_gradient_loss | -0.0193    |
|    std                  | 0.61       |
|    value_loss           | 0.0646     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00277     |
|    E_fric_J             | 0.00345     |
|    E_norm_J             | 0.0013      |
|    W_neg_J              | 0.00536     |
|    W_pos_J              | 0.00829     |
| reward/                 |             |
|    r_energy             | -0.0101     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.63       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 100         |
|    time_elapsed         | 8945        |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.024638778 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.83       |
|    explained_variance   | 0.872       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0944     |
|    n_updates            | 990         |
|    policy_gradient_loss | -0.0189     |
|    std                  | 0.608       |
|    value_loss           | 0.0524      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0294      |
|    E_fric_J             | 0.00531     |
|    E_norm_J             | 0.0191      |
|    W_neg_J              | 0.0371      |
|    W_pos_J              | 0.0594      |
| reward/                 |             |
|    r_energy             | -0.0765     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.65       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 101         |
|    time_elapsed         | 9037        |
|    total_timesteps      | 413696      |
| train/                  |             |
|    approx_kl            | 0.023383183 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.81       |
|    explained_variance   | 0.847       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0625     |
|    n_updates            | 1000        |
|    policy_gradient_loss | -0.0195     |
|    std                  | 0.607       |
|    value_loss           | 0.0633      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00345     |
|    E_fric_J             | 0.00376     |
|    E_norm_J             | 0.00142     |
|    W_neg_J              | 0.00572     |
|    W_pos_J              | 0.01        |
| reward/                 |             |
|    r_energy             | -0.0115     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.59       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 102         |
|    time_elapsed         | 9130        |
|    total_timesteps      | 417792      |
| train/                  |             |
|    approx_kl            | 0.025671758 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.78       |
|    explained_variance   | 0.869       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0904     |
|    n_updates            | 1010        |
|    policy_gradient_loss | -0.0156     |
|    std                  | 0.606       |
|    value_loss           | 0.0614      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0301      |
|    E_fric_J             | 0.00496     |
|    E_norm_J             | 0.0189      |
|    W_neg_J              | 0.0389      |
|    W_pos_J              | 0.0601      |
| reward/                 |             |
|    r_energy             | -0.0778     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.47       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 103         |
|    time_elapsed         | 9223        |
|    total_timesteps      | 421888      |
| train/                  |             |
|    approx_kl            | 0.021125093 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.76       |
|    explained_variance   | 0.832       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0715     |
|    n_updates            | 1020        |
|    policy_gradient_loss | -0.0202     |
|    std                  | 0.604       |
|    value_loss           | 0.0654      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0027      |
|    E_fric_J             | 0.00339     |
|    E_norm_J             | 0.0013      |
|    W_neg_J              | 0.00521     |
|    W_pos_J              | 0.00769     |
| reward/                 |             |
|    r_energy             | -0.00978    |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.35       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 104         |
|    time_elapsed         | 9316        |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.019285176 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.72       |
|    explained_variance   | 0.863       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0932     |
|    n_updates            | 1030        |
|    policy_gradient_loss | -0.0187     |
|    std                  | 0.602       |
|    value_loss           | 0.0571      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0322      |
|    E_fric_J             | 0.00544     |
|    E_norm_J             | 0.0186      |
|    W_neg_J              | 0.04        |
|    W_pos_J              | 0.066       |
| reward/                 |             |
|    r_energy             | -0.0812     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.39       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 105         |
|    time_elapsed         | 9408        |
|    total_timesteps      | 430080      |
| train/                  |             |
|    approx_kl            | 0.023220425 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.69       |
|    explained_variance   | 0.826       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0813     |
|    n_updates            | 1040        |
|    policy_gradient_loss | -0.019      |
|    std                  | 0.601       |
|    value_loss           | 0.0664      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00318     |
|    E_fric_J             | 0.0035      |
|    E_norm_J             | 0.00133     |
|    W_neg_J              | 0.00471     |
|    W_pos_J              | 0.00961     |
| reward/                 |             |
|    r_energy             | -0.0104     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.5        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 106         |
|    time_elapsed         | 9501        |
|    total_timesteps      | 434176      |
| train/                  |             |
|    approx_kl            | 0.023483183 |
|    clip_fraction        | 0.267       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.63       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0568     |
|    n_updates            | 1050        |
|    policy_gradient_loss | -0.0189     |
